"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VACU2006802","RES","CLS","1744 Scenic Loop","22701","Culpeper, VA","Interior Row/Townhouse","1,432","3","2","","","10/30/23","$333,705.00","$333,705","0","0","Standard","Standard Sale","Conventional","","2023","Yes","","Excellent","NONE AVAILABLE",""
"VACU2006740","RES","CLS","1758 Scenic Loop","22701","Culpeper, VA","Interior Row/Townhouse","1,691","3","2","1","","12/27/23","$337,990.00","$363,425","0","0","Standard","Standard Sale","Conventional","","2023","Yes","","Excellent","MADISON STATION",""
"VACU2006788","RES","CLS","2147 Whithorn Hill","22724","Culpeper, VA","Detached","0","5","3","","","10/19/23","$598,670.00","$598,670","0","0","Standard","Standard Sale","FHA","0.00","","Yes","","Excellent","NONE AVAILABLE",""
"VACU2006778","RES","CLS","1748 Scenic Loop","22701","Culpeper, VA","Interior Row/Townhouse","1,280","0","0","0","","12/04/23","$359,680.00","$359,680","0","0","Standard","Standard Sale","FHA","","2023","Yes","","Excellent","MADISON STATION",""
"VACU2006756","RES","CLS","2066 Whithorn Hill","22724","Culpeper, VA","Detached","4,141","5","3","1","","02/28/23","$641,090.00","$641,090","0","0","Standard","Standard Sale","Conventional","0.00","2023","Yes","","Excellent","NONE AVAILABLE",""
"VACU2006728","RES","CLS","1714 Scenic Loop","22701","Culpeper, VA","End of Row/Townhouse","2,000","3","2","2","","08/01/23","$382,650.00","$382,670","0","0","Standard","Standard Sale","VA","","2023","Yes","","Excellent","NONE AVAILABLE",""
"VACU2006716","RES","CLS","11183 Drogehda Mountain Rd","22737","Culpeper, VA","Detached","1,581","3","2","","","12/13/23","$409,995.00","$409,995","0","0","Standard","Standard Sale","FHA","5.06","2023","Yes","","Excellent","NONE AVAILABLE",""
"VACU2006530","RES","CLS","1742 Scenic Loop","22701","Culpeper, VA","Interior Row/Townhouse","1,587","3","2","2","","11/03/23","$350,470.00","$350,470","0","0","Standard","Standard Sale","Conventional","0.10","2023","Yes","","Excellent","NONE AVAILABLE",""
"VACU2006504","RES","CLS","2148 Whithorn Hill #LOT 1131 POWELL","22724","Culpeper, VA","Detached","3,681","5","3","1","11/02/2023","11/27/23","$569,990.00","$569,990","3","3","Standard","Standard Sale","Conventional","0.17","2023","Yes","","Excellent","CLEVENGER CORNER VILLAGE",""
"VACU2006498","RES","CLS","2152 Whithorn Hill","22724","Culpeper, VA","Detached","1,800","3","2","","","10/31/23","$600,040.00","$600,040","0","0","Standard","Standard Sale","Conventional","0.00","","Yes","","Excellent","NONE AVAILABLE",""
"VACU2006456","RES","CLS","2624 High Point Dr","22701","Culpeper, VA","Detached","0","3","2","","","10/25/23","$429,405.00","$429,405","0","0","Standard","Standard Sale","FHA","0.23","2023","Yes","","Excellent","HIGHPOINT OF CULPEPER",""
"VACU2006434","RES","CLS","2151 Whithorn Hill","22724","Culpeper, VA","Detached","2,500","0","0","1","10/24/2023","10/24/23","$609,290.00","$609,290","0","0","Standard","Standard Sale","Conventional","0.25","2023","Yes","","Excellent","NONE AVAILABLE",""
"VACU2006372","RES","CLS","18154 Telford #LOT 1125 POWELL","22724","Culpeper, VA","Detached","4,084","5","3","1","10/27/2023","11/13/23","$599,990.00","$599,990","11","11","Standard","Standard Sale","Conventional","0.18","2023","Yes","","Excellent","NONE AVAILABLE",""
"VACU2006340","RES","CLS","18146 Telford","22724","Culpeper, VA","Detached","2,229","5","3","1","","10/10/23","$553,870.00","$553,870","0","0","Standard","Standard Sale","VA","0.17","2023","Yes","","Excellent","NONE AVAILABLE",""
"VACU2006270","RES","CLS","14524 Woolens Ln","22701","Culpeper, VA","Detached","2,800","5","3","","10/10/2023","10/31/23","$450,000.00","$474,500","5","5","Standard","Standard Sale","VA","1.92","2023","Yes","","Excellent","CARLTON HILL","CARLTON HILL"
"VACU2006252","RES","CLS","18141 Telford Drive","22724","Culpeper, VA","Detached","2,229","5","3","1","","09/28/23","$555,040.00","$555,040","0","0","Standard","Standard Sale","VA","0.16","","Yes","","Excellent","NONE AVAILABLE",""
"VACU2006184","RES","CLS","10173 John Jameson Pl","22701","Culpeper, VA","Detached","1,726","3","2","0","11/22/2023","11/30/23","$579,000.00","$579,000","32","32","Standard","Standard Sale","VA","8.12","2023","Yes","","Excellent","JAMESONS",""
"VACU2006148","RES","CLS","2644 High Point Dr","22701","Culpeper, VA","Detached","1,296","3","2","","","08/30/23","$434,990.00","$434,990","0","0","Standard","Standard Sale","Other","0.00","","Yes","","Excellent","HIGHPOINT OF CULPEPER",""
"VACU2006104","RES","CLS","2123 Berwick #POWELL","22724","Culpeper, VA","Detached","4,084","5","3","1","","08/31/23","$613,490.00","$613,490","1","1","Standard","Standard Sale","Conventional","0.18","2023","Yes","","Excellent","NONE AVAILABLE",""
"VACU2006064","RES","CLS","29209 Guerra Ln","22736","Culpeper, VA","Detached","2,220","4","4","","11/14/2023","12/15/23","$685,000.00","$675,000","81","266","Standard","Standard Sale","VA","11.92","2023","Yes","","Excellent","RIVER RIDGE",""
"VACU2006052","RES","CLS","2044 Armstrong Terrace","22724","Culpeper, VA","Detached","2,796","5","4","1","10/14/2023","11/13/23","$624,900.00","$624,000","51","51","Standard","Standard Sale","Conventional","0.16","2023","Yes","","Excellent","NONE AVAILABLE",""
"VACU2006038","RES","CLS","2143 Berwick #LOT 1115 POWELL","22724","Culpeper, VA","Detached","4,084","5","4","1","10/12/2023","11/13/23","$649,990.00","$649,990","51","51","Standard","Standard Sale","Conventional","0.18","2023","Yes","","Excellent","NONE AVAILABLE",""
"VACU2005990","RES","CLS","11130 Rixeyville Rd","22701","Culpeper, VA","Detached","1,600","3","2","","09/11/2023","09/27/23","$449,900.00","$434,000","17","17","Standard","Standard Sale","Conventional","1.51","2023","Yes","","Excellent","NONE AVAILABLE","RIXEYVILLE LAKES"
