Year,Total # of Lots,Total # of Plats,Major Division Plats,Major Division Lots,Minor Division Plats,Minor Division Lots,10 Acre Division Plats,10 Acre Division Lots,Family Partition Plats,Family Partition Lots
1993,91,56,0,0,21,36,10,27,25,28
1994,81,46,1,7,22,35,7,18,16,21
1995,160,72,6,63,32,51,12,22,22,24
1996,217,84,7,84,39,71,8,20,30,42
1997,142,79,4,40,29,46,11,19,35,37
1998,133,75,8,53,34,44,8,10,25,26
1999,186,81,8,92,37,44,8,16,28,34
2000,179,64,7,99,34,51,9,15,14,14
2001,156,65,6,68,39,58,12,21,8,9
2002,215,87,7,97,45,65,17,34,18,19
2003,149,102,1,10,52,76,27,41,22,22
2004,233,85,9,97,39,67,18,49,19,20
2005,728,119,10,553,60,108,21,39,28,28
2006,272,93,5,144,51,80,15,23,22,25
2007,136,78,4,24,34,58,14,26,27,28
2008,118,55,2,39,35,52,8,17,10,10
2009,87,48,0,0,23,46,16,32,8,9
2010,70,30,0,0,14,31,11,33,6,6
2011,40,28,0,0,18,23,5,10,6,7
2012,59,41,0,0,27,42,6,9,8,8
2013,37,27,0,0,12,14,10,17,5,6
2014,73,36,1,9,17,37,10,14,8,13
2015,55,43,0,0,18,20,13,21,12,14
2016,59,32,1,5,14,28,8,16,9,10
2017,136,45,5,68,22,42,10,16,8,10
2018,62,39,1,5,23,39,7,10,8,8
2019,81,48,2,17,24,36,11,15,11,13
2020,113,43,3,53,23,42,6,6,11,12
2021,121,51,3,37,23,44,18,33,7,7
2022,191,39,1,115,26,49,4,14,8,13
2023,189,56,4,98,25,40,18,39,9,12
